"","Community","who_occupies","zip_code","latitude","longitude","count_vacant"
"256","Englewood",TRUE,"60621","41.76877145453413","-87.63602377555632",19
"257","West Pullman",TRUE,"60628","41.681305563161374","-87.61468968290751",20
"258","West Garfield Park",TRUE,"60624","41.8796325131395","-87.7364580542684",6
"259","Calumet Heights",TRUE,"60617","41.73148647275097","-87.58275384097242",5
"260","Chicago Lawn",TRUE,"60629","41.771953819502265","-87.68493627259141",13
"261","Roseland",TRUE,"60628","41.69893556251823","-87.63534106575806",18
"262","North Lawndale",TRUE,"60623","41.85995932314986","-87.70670261839317",13
"263","Roseland",TRUE,"60628","41.697233141557874","-87.63768155067879",18
"264","Hegewisch",TRUE,"60633","41.65919739383178","-87.55803154165616",2
"265","Woodlawn",TRUE,"60637","41.77848106478432","-87.60162557238029",4
"266","Auburn Gresham",TRUE,"60620","41.73375760317791","-87.64111989895748",26
"267","West Pullman",TRUE,"60628","41.66307681052406","-87.63900416005458",20
"268","Humboldt Park",TRUE,"60624","41.890120359318296","-87.71739508050516",13
"269","West Englewood",TRUE,"60636","41.765704935837896","-87.67468572450153",35
"270","Burnside",TRUE,"60619","41.73063753254076","-87.59740770022096",1
"271","Douglas",TRUE,"60653","41.82648013300622","-87.62422756799613",3
"272","Avondale",TRUE,"60618","41.934698239260435","-87.71593724240881",2
"273","East Garfield Park",TRUE,"60612","41.87282116048823","-87.70160436695573",8
"274","Morgan Park",TRUE,"60643","41.68874894432862","-87.67463691619918",4
"275","Chicago Lawn",TRUE,"60629","41.77878567536514","-87.69582261029477",13
"276","Washington Park",TRUE,"60637","41.78847670801406","-87.62068478051941",5
"277","East Garfield Park",TRUE,"60612","41.88024484062873","-87.6992752006537",8
"278","East Garfield Park",TRUE,"60612","41.88024484062873","-87.6992752006537",8
"279","South Chicago",TRUE,"60617","41.74929128520757","-87.55648801197916",13
"280","North Lawndale",TRUE,"60623","41.85810249302271","-87.71518291786032",13
"281","North Lawndale",TRUE,"60612","41.86801119657415","-87.69838724534392",13
"282","South Shore",TRUE,"60649","41.75515512276967","-87.56508582839024",13
"283","East Side",TRUE,"60617","41.71717910467567","-87.5364902033005",4
"284","Englewood",TRUE,"60621","41.79151301726822","-87.64629947868416",19
"285","South Lawndale",TRUE,"60623","41.84388216748123","-87.71355450091346",6
"286","West Englewood",TRUE,"60636","41.76775688450749","-87.6566139431942",35
"287","South Shore",TRUE,"60619","41.7587044050321","-87.5928758531292",13
"288","Englewood",TRUE,"60621","41.7807937402748","-87.63793783359067",19
"289","Roseland",TRUE,"60628","41.693478110478935","-87.62461224428253",18
"290","Humboldt Park",TRUE,"60651","41.90321819791406","-87.7250996432264",13
"291","Roseland",TRUE,"60628","41.690731403241145","-87.6264651610507",18
"292","Englewood",TRUE,"60621","41.77769322077132","-87.64575647674997",19
"293","Auburn Gresham",TRUE,"60620","41.75586488027998","-87.65145071356073",26
"294","Grand Boulevard",TRUE,"60615","41.80736906729781","-87.61953838254522",1
"295","Roseland",TRUE,"60628","41.72147800193052","-87.61898731061109",18
"296","Englewood",TRUE,"60621","41.77729372166995","-87.65201052840015",19
"297","Washington Heights",TRUE,"60628","41.72066735126192","-87.6345844510993",6
"298","New City",TRUE,"60609","41.79927838746677","-87.66594077662124",10
"299","Englewood",TRUE,"60621","41.7779038918291","-87.64583305082414",19
"300","New City",TRUE,"60609","41.806628368009775","-87.67342463645613",10
"301","West Englewood",TRUE,"60636","41.79299338255348","-87.67670505741776",35
"302","Lower West Side",TRUE,"60608","41.85572693904225","-87.68418301055918",2
"303","Auburn Gresham",TRUE,"60620","41.73289392150456","-87.66896939376808",26
"304","Belmont Cragin",TRUE,"60639","41.921206464365085","-87.75237403166629",6
"305","East Garfield Park",TRUE,"60612","41.873814276121564","-87.6938983148449",8
"306","Greater Grand Crossing",TRUE,"60637","41.771034130560686","-87.62183990312198",12
"307","Austin",TRUE,"60651","41.89903818199717","-87.75447430836162",18
"308","Hermosa",TRUE,"60639","41.914258229995724","-87.73257225527439",1
"309","Chicago Lawn",TRUE,"60629","41.7805506070326","-87.68489755798738",13
"310","South Shore",TRUE,"60649","41.7708349283571","-87.57642608742415",13
"311","West Englewood",TRUE,"60636","41.78060732780628","-87.66546833058437",35
"312","Greater Grand Crossing",TRUE,"60619","41.752523368878556","-87.59794380948392",12
"313","West Englewood",TRUE,"60636","41.77359415018695","-87.66652452632775",35
"314","Auburn Gresham",TRUE,"60620","41.73203758647668","-87.63742514894255",26
"315","West Englewood",TRUE,"60636","41.79192997057163","-87.6742410309722",35
"316","West Pullman",TRUE,"60628","41.67896836923841","-87.62392284153225",20
"317","North Lawndale",TRUE,"60623","41.8622065456948","-87.7067670065669",13
"318","Auburn Gresham",TRUE,"60620","41.75151850060358","-87.66185271020738",26
"319","West Pullman",TRUE,"60628","41.67358527998804","-87.64058783968451",20
"320","West Englewood",TRUE,"60636","41.76017221124201","-87.6758319561386",35
"321","McKinley Park",TRUE,"60609","41.82706922999605","-87.68304937512559",2
"322","South Shore",TRUE,"60619","41.759855869271306","-87.59204604324405",13
"323","West Englewood",TRUE,"60636","41.784241217660615","-87.65704903661303",35
"324","Auburn Gresham",TRUE,"60620","41.7433391606252","-87.64507589552353",26
"325","Woodlawn",TRUE,"60637","41.77093298519099","-87.60697433748794",4
"326","Belmont Cragin",TRUE,"60634","41.93122599975224","-87.7698911256573",6
"327","Douglas",TRUE,"60616","41.83364952499614","-87.62060087879097",3
"328","Auburn Gresham",TRUE,"60620","41.7493246272706","-87.66462558644233",26
"329","Auburn Gresham",TRUE,"60620","41.735512232188334","-87.65819424702565",26
"330","Chatham",TRUE,"60620","41.743009872552754","-87.6280377997244",8
"331","Austin",TRUE,"60644","41.893828477797975","-87.75678526743651",18
"332","Avalon Park",TRUE,"60619","41.755044554318054","-87.59435841062752",4
"333","Chatham",TRUE,"60619","41.7468694795535","-87.60632583542842",8
"334","Beverly",TRUE,"60643","41.700442968048854","-87.66021897231796",4
"335","West Englewood",TRUE,"60636","41.778667750103686","-87.67754722731708",35
"336","West Englewood",TRUE,"60636","41.79364753770797","-87.6658289802824",35
"337","South Shore",TRUE,"60637","41.767097407102185","-87.58792099031946",13
"338","South Lawndale",TRUE,"60623","41.84232907728826","-87.7147350239056",6
"339","South Chicago",TRUE,"60617","41.74257836921939","-87.5430119798391",13
"340","East Garfield Park",TRUE,"60624","41.87095464246398","-87.70626700420233",8
"341","West Pullman",TRUE,"60628","41.668476751177664","-87.62836836901396",20
"342","West Pullman",TRUE,"60628","41.67186465742765","-87.63930734240601",20
"343","Montclare",TRUE,"60634","41.93376512062715","-87.79061713599943",1
