"","hardship_index","count_vacant","affordable_units_no"
"hardship_index",1,0.465125440974354,0.088335188540767
"count_vacant",0.465125440974354,1,0.0700452416931652
"affordable_units_no",0.088335188540767,0.0700452416931652,1
