"","Community","community_area_number","property_type","zip_code","affordable_units_no","x_coordinate","y_coordinate","latitude","longitude","location"
"47","Belmont Cragin",19,"ARO",60707,1,1132223.084,1913455.475,41.9187611,-87.78963176,"(41.91876109734238, 87.78963175945233)"
"48","Logan Square",22,"Multifamily",60647,3,1152491.947,1911884.938,41.91407463,-87.71520284,"(41.9140746342917, -87.7152028390309)"
"49","Austin",25,"Multifamily",60644,12,1139130.076,1898499.873,41.87759814,-87.76461864,"(41.8775981391756, -87.7646186402379)"
"50","Lower West Side",31,"Multifamily",60608,12,1167939.641,1891689.48,41.8583373,-87.65903377,"(41.8583373045384, -87.6590337725469)"
"51","West Town",24,"ARO",60642,19,1168610.474,1905551.686,41.89636176,-87.65616995,"(41.8963617568158, -87.6561699480868)"
"52","West Town",24,"ARO",60642,1,1169534.021,1904952.077,41.89469634,-87.65279542,"(41.8946963389876, -87.652795420646)"
"53","Humboldt Park",23,"Multifamily",60647,3,1152579.353,1911651.094,41.91343122,-87.71488792,"(41.9134312154579, -87.7148879186767)"
"54","Montclare",18,"Senior",60707,7,1131547.932,1914379.416,41.92130822,-87.79209096,"(41.9213082227541, -87.7920909580488)"
"55","Uptown",3,"Multifamily",60640,60,1167014.087,1932819.273,41.97121983,-87.66124806,"(41.9712198343036, -87.6612480604762)"
"56","Humboldt Park",23,"Multifamily",60624,6,1155237.959,1903558.991,41.89117274,-87.70533834,"(41.8911727353719, -87.7053383382248)"
"57","South Lawndale",30,"Multifamily",60623,8,1153205.149,1888451.562,41.84975688,-87.71320473,"(41.8497568840392, -87.7132047259626)"
"58","Grand Boulevard",38,"Multifamily",60653,65,1177858.686,1875634.197,41.81406086,-87.62311222,"(41.8140608614135, -87.6231122243036)"
"59","Englewood",68,"Multifamily",60621,69,1175444.813,1860492.084,41.77256377,-87.63241932,"(41.772563768909, -87.6324193182049)"
"60","Logan Square",22,"ARO",60647,22,1157492.643,1915110.094,41.92282434,-87.69674313,"(41.9228243439568, -87.696743126238)"
"61","South Chicago",46,"Multifamily",60617,29,1198941.103,1844604.277,41.72840878,-87.54682246,"(41.7284087757332, -87.5468224570309)"
"62","Uptown",3,"Multifamily",60640,18,1169143.773,1930693.074,41.96533937,-87.65347906,"(41.9653393681499, -87.6534790570047)"
"63","Humboldt Park",23,"Multifamily",60624,15,1153240.184,1903567.266,41.89123533,-87.71267502,"(41.8912353311207, -87.7126750162555)"
"64","Montclare",18,"ARO",60634,2,1131639.88,1918054.962,41.93139277,-87.7916678,"(41.9313927728181, -87.7916677976395)"
"65","Lower West Side",31,"Multifamily",60608,6,1167849.048,1890829.499,41.85597939,-87.65939108,"(41.8559793926667, -87.6593910822171)"
"66","Near West Side",28,"Senior",60608,181,1167191.396,1894769.797,41.86680605,-87.66169184,"(41.8668060489591, -87.6616918421459)"
"67","Uptown",3,"Multifamily",60640,137,1167373.041,1931314.7,41.9670835,-87.65997164,"(41.96708350165128, -87.6599716369116)"
"68","Hunboldt Paek",23,"Multifamily",60647,16,1151532.936,1911006.556,41.91168319,-87.71874923,"(41.911683185141136, -87.71874923005096)"
"69","Lake View",6,"ARO",60657,1,1169418.134,1922062.554,41.94165093,-87.65272231,"(41.94165092770152, -87.65272230772611)"
"70","Uptown",3,"ARO",60640,5,1168036.159,1930840.623,41.96576829,-87.6575472,"(41.96576829198519, -87.65754719663556)"
"71","Near West Side",28,"Multifamily",60612,76,1159392.507,1898418.37,41.87698195,-87.69022214,"(41.8769819545732, -87.6902221443242)"
"72","West Town",24,"ARO",60647,5,1158490.609,1910798.294,41.91097205,-87.69319452,"(41.9109720465448, -87.6931945157287)"
"73","North Lawndale",29,"Multifamily",60623,45,1151263.623,1891891.93,41.85923592,-87.7202403,"(41.8592359222937, -87.7202402979576)"
"74","Humboldt Park",23,"Supportive Housing",60647,69,1153731.441,1907707.148,41.9025858,-87.71076053,"(41.902585798904, -87.710760528276)"
"75","Uptown",3,"Multifamily",60640,83,1169606.678,1930039.336,41.9635354,-87.65179619,"(41.9635353994208, -87.651796190778)"
"76","West Garfield Park",26,"Senior",60624,276,1151025.526,1899809.62,41.88096762,-87.72090693,"(41.8809676236059, -87.7209069325321)"
"77","Rogers Park",1,"Multifamily",60626,54,1163231.887,1947395.327,42.01129755,-87.6747434,"(42.011297553855016, -87.67474340393993)"
"78","Englewood",68,"Supportive/Veterans",60621,73,1171959.565,1864993.894,41.78499449,-87.64506314,"(41.7849944939049, -87.6450631448593)"
"79","West Ridge",2,"ARO",60659,2,1159227.225,1938700.509,41.98752226,-87.68971871,"(41.9875222634019, -87.6897187054826)"
"80","Austin",25,"Senior HUD 202",60644,60,1145481.111,1897910.062,41.87586178,-87.74131396,"(41.8758617765259, -87.7413139551546)"
"81","North Lawndale",29,"Multifamily",60608,5,1158274.683,1894003.779,41.86489079,-87.69444711,"(41.8648907888264, -87.6944471100166)"
"82","Near North Side",8,"Multifamily",60642,112,1170813.062,1908876.862,41.90543825,-87.64798274,"(41.9054382467375, -87.6479827434046)"
