"","Community","community_area_number","property_type","zip_code","affordable_units_no","x_coordinate","y_coordinate","latitude","longitude","location"
"200","Near West Side",28,"Multifamily",60612,15,1162359.526,1900563.445,41.8828067,-87.67926811,"(41.8828067021833, -87.6792681084205)"
"201","Humboldt Park",23,"Multifamily",60624,6,1154639.548,1903911.993,41.89215341,-87.70752657,"(41.8921534052465, -87.7075265659001)"
"202","Grand Boulevard",38,"Multifamily",60653,180,1179658.647,1877532.342,41.81922851,-87.61645178,"(41.8192285127139, -87.6164517752946)"
"203","North Lawndale",29,"Multifamily",60808,5,1158459.37,1894563.613,41.86642326,-87.69375381,"(41.8664232575349, -87.6937538097267)"
"204","Near West Side",28,"ARO",60607,74,1168897.246,1902445.508,41.88783198,-87.65520686,"(41.88783197779841, -87.6552068561226)"
"205","Belmont Cragin",19,"Senior",60639,17,1142340.781,1912865.659,41.91696054,-87.75247249,"(41.9169605419799, -87.7524724893612)"
"206","West Elsdon",62,"Multifamily",60632,78,1152916.272,1870602.659,41.80078286,-87.71473662,"(41.8007828624241, -87.7147366176902)"
"207","Near West Side",28,"ARO",60607,22,1169068.963,1901424.241,41.88502582,-87.65460592,"(41.88502582436289, -87.65460592239103)"
"208","North Lawndale",29,"Supportive Housing",60624,58,1151446.075,1895529.682,41.86921476,-87.71947509,"(41.8692147569018, -87.7194750916543)"
"209","Near West Side",28,"ARO",60607,52,1166237.82,1899601.722,41.88008567,-87.66505442,"(41.8800856665928, -87.6650544156673)"
"210","North Lawndale",29,"Multifamily",60612,48,1156574.009,1894894.51,41.86736961,-87.70066623,"(41.8673696100651, -87.7006662254259)"
"211","Albany Park",14,"Senior",60618,80,1156898.514,1929148.461,41.96135865,-87.69854417,"(41.9613586524698, -87.6985441743698)"
"212","Near North Side",8,"Multifamily",60622,52,1173039.746,1908293.946,41.90378958,-87.63982077,"(41.9037895846684, -87.639820773757)"
"213","Logan Square",22,"Multifamily",60647,2,1160606.222,1912516.637,41.91564372,-87.6853748,"(41.9156437180312, -87.6853747958015)"
"214","Humboldt Park",23,"Multifamily",60624,6,1154724.086,1904442.811,41.89360833,-87.70720187,"(41.8936083276263, -87.707201866607)"
"215","Hyde Park",41,"ARO",60615,27,1185905.32,1870431.452,41.79959787,-87.59376104,"(41.7995978693895, -87.5937610368807)"
"216","Washington Park",40,"Multifamily",60637,27,1179047.074,1864591.098,41.78373056,-87.61908972,"(41.7837305569286, -87.6190897249257)"
"217","Grand Boulevard",38,"Supportive Housing",60615,96,1178406.437,1871882.896,41.80375452,-87.62121706,"(41.8037545211771, -87.6212170565254)"
"218","Humboldt Park",23,"Senior",60647,72,1149678.042,1910302.339,41.90978701,-87.72558192,"(41.9097870142627, -87.7255819184016)"
"219","North Center",5,"Senior",60618,60,1160064.901,1926543.181,41.95414467,-87.68697505,"(41.9541446663226, -87.6869750498606)"
"220","Uptown",3,"ARO",60640,2,1164465.118,1930651.529,41.96532595,-87.67068252,"(41.9653259479463, -87.6706825225852)"
"221","Uptown",3,"Supportive Housing",60640,38,1168715.467,1931350.065,41.96715149,-87.65503471,"(41.967151487077, -87.6550347050185)"
"222","North Lawndale",29,"Multifamily",60623,2,1155952.715,1890430.854,41.8551334,-87.7030674,"(41.8551333960945, -87.7030673956673)"
"223","Near North Side",8,"ARO",60610,32,1174546.412,1905796.728,41.89690353,-87.63436122,"(41.8969035333416, -87.6343612178957)"
"224","Washington Heights",73,"Senior",60620,60,1168602.534,1845525.798,41.73164453,-87.65793186,"(41.7316445313381, -87.6579318552234)"
"225","Logan Square",22,"Multifamily",60647,30,1151016.257,1912402.357,41.91552353,-87.72061073,"(41.9155235348496, -87.7206107279615)"
"226","Near West Side",28,"Supportive",60661,61,1171177.974,1901637.395,41.8855647,-87.64685508,"(41.8855647009563, -87.6468550832448)"
"227","Jefferson Park",11,"Senior",60630,73,1136226.971,1935211.185,41.97839039,-87.77439957,"(41.9783903918479, -87.7743995653441)"
"228","Humboldt Park",23,"Multifamily",60624,12,1152910.964,1903460.212,41.8909481,-87.71388693,"(41.8909480951075, -87.7138869272678)"
"229","Lincoln Square",4,"ARO",60640,15,1163292.382,1933204.703,41.97235677,-87.67492225,"(41.9723567700552, -87.6749222533142)"
"230","East Garfield Park",27,"Multifamily",60612,123,1156993.694,1897269.114,41.87387727,-87.69906108,"(41.87387726552858, -87.69906107872393)"
"231","Humboldt Park",23,"Multifamily",60624,6,1155445.176,1903206.5,41.8902013,-87.70458681,"(41.8902013034932, -87.7045868112095)"
"232","Humboldt Park",23,"Multifamily",60624,6,1155507.651,1903207.947,41.89020402,-87.70435734,"(41.8902040169903, -87.7043573374365)"
"233","Humboldt Park",23,"Multifamily",60639,48,1149146.636,1911465.939,41.91299036,-87.72750391,"(41.9129903622841, -87.727503905539)"
"234","South Shore",43,"Senior",60649,55,1193073.323,1860960.163,41.77343579,-87.56778382,"(41.7734357917325, -87.5677838210307)"
"235","Washington Park",40,"Senior HUD 202",60637,53,1178070.443,1867951.677,41.79297452,-87.62256852,"(41.7929745218958, -87.6225685185263)"
"236","Avondale",21,"Multifamily",60647,25,1153078.89,1918447.998,41.93207259,-87.71287204,""
"237","North Lawndale",29,"Multifamily",60623,11,1155600.26,1893326.92,41.86308761,-87.70428319,"(41.8630876114313, -87.7042831894435)"
"238","Douglas",35,"Multifamily",60609,80,1176967.12,1879322.168,41.82420114,-87.62627123,"(41.8242011420775, -87.6262712265229)"
"239","Humboldt Park",23,"Multifamily",60612,15,1154967.75,1904040.977,41.89250077,-87.70631776,"(41.89250077360275, -87.70631775512356)"
"240","West Garfield Park",26,"Senior",60624,181,1150182.64,1900168.643,41.88196929,-87.72399261,"(41.8819692863711, -87.7239926128235)"
"241","Grand Boulevard",38,"Multifamily",60615,7,1181425.624,1871964.801,41.8039101,-87.61014176,"(41.8039101011155, -87.6101417642929)"
"242","Lake View",6,"ARO",60613,1,1169246.126,1926706.623,41.95439818,-87.65321906,"(41.9543981834222, -87.6532190636427)"
"243","Oakland",36,"Multifamily",60653,3,1184548.967,1877442.503,41.81886863,-87.59851524,"(41.8188686278145, -87.598515237893)"
"244","Douglas",35,"Multifamily",60609,54,1176805.951,1881719.108,41.83078218,-87.62679018,"(41.8307821805741, -87.6267901762196)"
"245","Montclare",18,"ARO",60707,3,1131884.372,1917931.507,41.93104976,-87.79077219,"(41.9310497553307, -87.7907721868365)"
"246","Logan Square",22,"ARO",60647,10,1156843.581,1915231.888,41.92317175,-87.69912469,"(41.9231717544125, -87.6991246890431)"
"247","Washington Park",40,"Multifamily",60637,54,1178315.994,1865303.085,41.78570095,-87.6217485,"(41.7857009548336, -87.6217485015409)"
"248","Avondale",21,"ARO",60641,1,1147628.496,1920859.764,41.93879718,-87.73283956,"(41.93879718099848, -87.7328395635794)"
"249","Hunboldt Paek",23,"Multifamily",60612,43,1155567.271,1904540.247,41.89385878,-87.7041025,"(41.89385877539872, -87.70410250285862)"
"250","Near South Side",33,"ARO",60616,10,1177122.36751399,1890143.36687697,41.8538918245058,-87.6253744575475,"(41.8538918245058, -87.6253744575475)"
"251","Woodlawn",42,"Multifamily",60637,12,1182659.118,1864701.714,41.783951,-87.60584338,"(41.7839509995196, -87.6058433793708)"
"252","Near West Side",28,"ARO",60607,6,1169147.739,1901468.29,41.88514499,-87.65431537,"(41.8851449893521, -87.6543153671727)"
"253","Uptown",3,"ARO",60640,8,1167968.379,1931816.995,41.96844895,-87.6577681,"(41.96844895460098, -87.65776810408943)"
"254","West Town",24,"Multifamily",60647,18,1158163.07,1910570.521,41.91035372,-87.69440401,"(41.9103537220529, -87.6944040130463)"
"255","Austin",25,"Multifamily",60644,161,1141766.818,1897120.686,41.87376512,-87.7549712,"(41.8737651210059, -87.7549712034404)"
"256","Grand Boulevard",38,"Multifamily",60614,107,1177483.246,1873312.722,41.80769903,-87.62455959,"(41.8076990345395, -87.6245595888703)"
"257","Washington Park",40,"Senior",60615,35,1179447.49,1869994.898,41.79854996,-87.61745669,"(41.7985499558127, -87.6174566934006)"
"258","Near West Side",28,"ARO",60607,7,1170486.026,1899238.856,41.8789981,-87.64946622,"(41.8789981048164, -87.6494662212002)"
"259","Lower West Side",31,"Multifamily",60608,3,1167051.022,1890476.213,41.8550271,-87.66233036,"(41.8550270973189, -87.6623303609038)"
"260","West Town",24,"Multifamily",60647,30,1158184.401,1910570.961,41.91035449,-87.69432564,"(41.9103544922391, -87.6943256396865)"
"261","Near North Side",8,"Multifamily",60622,94,1172865.271,1908241.237,41.90364882,-87.64046322,"(41.9036488171287, -87.6404632192771)"
"262","West Town",24,"ARO",60622,10,1165376.188,1908029.505,41.9032305,-87.66797825,"(41.903230501389, -87.6679782480489)"
"263","Englewood",68,"Supportive Housing",60621,167,1174002.16,1863521.643,41.78090936,-87.63761782,"(41.7809093635647, -87.6376178170027)"
"264","Humboldt Park",23,"Supportive/Veterans",60612,50,1155690.801,1903132.153,41.88999235,-87.70368677,"(41.8899923467274, -87.7036867658502)"
"265","Douglas",35,"Multifamily",60609,12,1176929.888,1880943.186,41.82865019,-87.62635888,"(41.8286501893194, -87.6263588793837)"
"266","North Lawndale",29,"Senior",60623,126,1150987.19,1889144.749,41.85170274,-87.72132688,"(41.8517027367806, -87.7213268803416)"
"267","Lincoln Park",7,"ARO",60614,1,1166685.433,1913998.316,41.91958133,-87.66299779,"(41.9195813280804, -87.6629977907605)"
"268","Near South Side",33,"Supportive Housing",60616,96,1177086.698,1891564.72,41.85779292,-87.62546237,"(41.857792921043, -87.6254623688353)"
"269","Near South Side",33,"Multifamily",60616,170,1176604.642,1890373.503,41.85453503,-87.62726774,"(41.8545350329649, -87.6272677388027)"
"270","West Town",24,"ARO",60642,2,1166436.78,1905072.949,41.89509487,-87.6641672,"(41.8950948696761, -87.664167197744)"
"271","North Lawndale",29,"Multifamily",60608,31,1158279.052,1893857.022,41.86448798,-87.69443508,"(41.8644879835666, -87.6944350831822)"
"272","West Town",24,"Multifamily",60622,59,1157605.979,1907820.481,41.90281875,-87.69652556,"(41.9028187509983, -87.6965255553721)"
"273","Chicago Lawn",66,"Senior",60629,86,1159807.028,1862817.69,41.77928099,-87.68967949,"(41.779280990198, -87.689679486435)"
"274","Near North Side",8,"SRO/Supportive",60610,96,1172776.621,1908546.231,41.9044877,-87.6407798,"(41.90448770178859, -87.64077980359421)"
"275","North Lawndale",29,"Senior",60624,104,1153440.124,1894532.775,41.86643977,-87.71218086,"(41.8664397712922, -87.7121808603313)"
"276","Rogers Park",1,"Multifamily",60626,57,1167067.259,1942855.196,41.99875752,-87.66076276,"(41.99875752497431, -87.66076275537927)"
"277","Chatham",44,"Senior",60619,90,1182964.716,1850099.444,41.74387382,-87.60517616,"(41.7438738210116, -87.6051761605565)"
"278","New City",61,"Multifamily",60609,10,1165081.4,1874156.261,41.81028546,-87.67002227,"(41.8102854562714, -87.6700222696602)"
"279","North Lawndale",29,"Multifamily",60608,17,1158291.047,1893459.955,41.86339815,-87.69440189,"(41.8633981467105, -87.6944018944973)"
"280","Near North Side",8,"Multfamily",60622,12,1172709.408,1907999.787,41.90298972,-87.64104289,"(41.9029897210002, -87.6410428924515)"
"281","Grand Boulevard",38,"Multifamily",60653,71,1177923.904,1876177.553,41.8155504,-87.62285652,"(41.815550396096, -87.6228565224104)"
"282","Edgewater",77,"Senior",60660,198,1168181.124,1937918.4,41.98518678,-87.65680868,"(41.9851867755403, -87.656808676983)"
"283","Grand Boulevard",38,"Multifamily",60615,67,1180363.274,1872953.096,41.80664653,-87.61400757,"(41.80664652807751, -87.61400757005497)"
"284","Woodlawn",42,"Multifamily",60637,18,1183642.029,1861850.344,41.77610371,-87.60232857,"(41.7761037074244, -87.6023285745515)"
"285","Humboldt Park",23,"Multifamily",60647,80,1152271.525,1910359.241,41.90989234,-87.71605298,"(41.9098923381712, -87.7160529794187)"
"286","Logan Square",22,"ARO",60647,4,1159903.525,1913009.701,41.91701126,-87.68794282,"(41.917011260975, -87.6879428188384)"
"287","West Town",24,"ARO",60654,1,1171305.699,1903732.364,41.89131063,-87.64632446,"(41.8913106255178, -87.646324463052)"
"288","Logan Square",22,"Multfamily",60647,3,1153800.449,1912395.375,41.91544934,-87.71038198,"(41.9154493391046, -87.7103819818634)"
"289","Auburn Gresham",71,"Senior",60620,85,1170460.901,1852465.795,41.75064862,-87.65092232,"(41.7506486193345, -87.6509223206213)"
"290","Austin",25,"Senior",60644,84,1137686.377,1901819.131,41.88673275,-87.76983958,"(41.8867327472372, -87.7698395846828)"
"291","Lincoln Square",4,"ARO",60625,3,1159838.051,1932783.705,41.97127368,-87.6876361,"(41.971273678097695, -87.6876361045426)"
"292","Washington Heights",73,"Senior",60643,82,1172263.727,1836577.477,41.70700943,-87.64478166,"(41.7070094273739, -87.6447816603137)"
"293","Humboldt Park",23,"Multifamily",60612,5,1155294.387,1904337.577,41.89330812,-87.70511017,"(41.89330811630709, -87.70511016740511)"
"294","Hyde Park",41,"ARO",60615,36,1187193.908,1871412.921,41.80226057,-87.58900435,"(41.8022605698632, -87.5890043475713)"
"295","Logan Square",22,"Multifamily",60647,41,1159484.845,1913450.552,41.91822962,-87.68946889,"(41.9182296230738, -87.6894688873142)"
"296","Montclare",18,"ARO",60707,5,1127615.033,1918797.886,41.93350027,-87.80644193,"(41.9335002731173, -87.8064419298412)"
"297","West Town",24,"Supportive Housing",60622,102,1162934.319,1910028.946,41.90876874,-87.67689152,"(41.9087687358883, -87.6768915181969)"
"298","Lower West Side",31,"Multifamily",60608,52,1170238.806,1890555.169,41.8551748,-87.65062753,"(41.8551748018435, -87.6506275348033)"
"299","Lower West Side",31,"Multifamily",60608,45,1163154.261,1891768.78,41.8586567,-87.67659689,"(41.8586566959184, -87.6765968933512)"
"300","North Center",5,"ARO",60613,2,1162826.371,1926537.708,41.95407205,-87.67682369,"(41.95407204874, -87.6768236930826)"
"301","Uptown",3,"ARO",60640,22,1169980.753,1929712.369,41.96263002,-87.65043043,"(41.9626300189614, -87.6504304289638)"
"302","Logan Square",22,"Multifamily",60647,100,1154423.212,1917862.748,41.93043982,-87.70794751,"(41.93043982134092, -87.7079475066222)"
"303","Logan Square",22,"ARO",60647,8,1159374.119,1913163.369,41.91744385,-87.68988362,"(41.9174438522713, -87.6898836190418)"
"304","East Garfield Park",27,"Multifamily",60624,66,1151407.461,1896705.24,41.87244138,-87.71958599,"(41.8724413775792, -87.7195859944955)"
"305","West Town",24,"Multifamily",60622,24,1158786.704,1908791.071,41.905458,-87.69216188,"(41.9054579980481, -87.6921618816492)"
"306","Hegewisch",55,"Senior",60633,116,1201038.059,1815487.733,41.64845741,-87.54012317,"(41.648457411436, -87.5401231660406)"
"307","Near West Side",28,"ARO",60607,NA,1169060.056,1901751.478,41.8859239807563,-87.6546291266298,""
"308","Washington Park",40,"Senior",60637,34,1178260.931,1864074.92,41.782332,-87.62198764,"(41.7823319979281, -87.6219876398255)"
"309","North Lawndale",29,"Multifamily",60608,7,1158194.723,1894001.251,41.86488549,-87.69474071,"(41.8648854853042, -87.6947407139381)"
"310","West Town",24,"Multifamily",60647,52,1156239.113,1911419.569,41.91272269,-87.70144893,"(41.9127226903358, -87.7014489336157)"
"311","North Lawndale",29,"Multifamily",60613,170,1151024.342,1899855.056,41.88109233,-87.72091009,"(41.8810923305496, -87.7209100899284)"
"312","West Town",24,"ARO",60622,6,1165423.812,1908434.931,41.904342,-87.66779176,"(41.9043420043763, -87.6677917610079)"
"313","West Town",24,"ARO",60622,2,1164947.334,1910121.237,41.90897948,-87.66949405,"(41.9089794761552, -87.6694940511534)"
"314","Edgewater",77,"ARO",60660,3,1164726.018,1940637.401,41.99272198,-87.66943869,"(41.9927219787073, -87.6694386889022)"
"315","West Town",24,"Multifamily",60622,23,1158113.714,1909378.978,41.90708504,-87.69461792,"(41.9070850396306, -87.6946179241723)"
"316","Kenwood",39,"Multifamily",60653,155,1182801.325,1873991.948,41.80944088,-87.60503342,"(41.8094408764944, -87.6050334227459)"
"317","Lower West Side",31,"Multifamily",60608,45,1168646.297,1890365.991,41.85469028,-87.65647821,"(41.8546902787307, -87.6564782084317)"
"318","Near North Side",8,"Supportive",60610,80,1174812.446,1910422.213,41.90959014,-87.63324548,"(41.9095901426841, -87.6332454838348)"
"319","Humboldt Park",23,"Multifamily",60624,6,1154625.793,1904362.102,41.89338882,-87.70756503,"(41.8933888222173, -87.7075650280001)"
"320","Lower West Side",31,"ARO",60608,1,1166927.96,1890745.516,41.85576873,-87.66277433,"(41.8557687250324, -87.6627743294071)"
"321","Humboldt Park",23,"Multifamily",60624,3,1155237.316,1903580.685,41.89123228,-87.70534012,"(41.891232279869, -87.7053401173226)"
"322","Washington Park",40,"Multifamily",60637,14,1178697.322,1864156.91,41.78254707,-87.62038523,"(41.7825470680121, -87.6203852293449)"
"323","North Center",5,"ARO",60618,5,1159529.243,1928114.259,41.95846686,-87.68890077,"(41.9584668605244, -87.6889007679548)"
"324","North Lawndale",29,"Multifamily",60608,4,1158622.398,1894325.458,41.8657664,-87.69316184,"(41.8657664015576, -87.6931618351705)"
"325","Humboldt Park",23,"Supportive Housing",60612,84,1154880.603,1904286.639,41.89317664,-87.70663122,"(41.8931766424929, -87.7066312185286)"
"326","Humboldt Park",23,"Multifamily",60624,6,1155134.693,1903119.26,41.88996815,-87.7057294,"(41.8899681469222, -87.7057293959162)"
"327","Austin",25,"Senior",60644,60,1138118.684,1899770.53,41.88110332,-87.76830155,"(41.88110332024519, -87.76830154714395)"
"328","Douglas",35,"Multifamily",60609,36,1176708.767,1881091.479,41.82906211,-87.62716568,"(41.8290621082689, -87.62716567775)"
"329","Near West Side",28,"ARO",60607,28,1169706.814,1901381.768,41.88489541,-87.65226488,"(41.884895408116236, -87.65226488412628)"
"330","Montclare",18,"ARO",60707,2,1127689.873,1916489.615,41.92716483,-87.80621904,"(41.9271648255127, -87.8062190443279)"
"331","Near West Side",28,"ARO",60612,8,1160797.436,1899442.076,41.87976209,-87.68503527,"(41.87976209246967, -87.68503526602909)"
"332","Lake View",6,"Senior",60657,173,1172519.373,1919370.307,41.93419517,-87.64140394,"(41.934195165791614, -87.64140393808746)"
"333","Humboldt Park",23,"Multifamily",60612,8,1155553.014,1904238.945,41.89303226,-87.70416298,"(41.8930322620299, -87.70416297611808)"
"334","Hyde Park",41,"Multifamily",60615,36,1187148.234,1870068.251,41.79857178,-87.58921454,"(41.7985717840676, -87.5892145402274)"
"335","East Garfield Park",27,"Multifamily",60624,200,1153978.229,1900741.035,41.88346519,-87.71003991,"(41.8834651917068, -87.7100399090678)"
"336","Edison Park",9,"ARO",60631,1,1126979.17237347,1942152.379,41.99759826,-87.80825276,"(41.9975982587448, -87.8082527576838)"
"337","Austin",25,"Supportive/Teenage Moms",60651,40,1140544.652,1904774.781,41.89479143,-87.75927048,"(41.8947914313504, -87.7592704827665)"
"338","Washington Park",40,"Multifamily",60653,31,1178307.697,1863372.599,41.78040369,-87.62183749,"(41.7804036945444, -87.6218374891699)"
"339","West Town",24,"ARO",60642,39,1169262.136,1905082.493,41.89506012,-87.65379018,"(41.8950601208968, -87.6537901783628)"
"340","North Lawndale",29,"Multifamily",60623,32,1151511.158,1893415.133,41.86341092,-87.71929168,"(41.8634109155574, -87.7192916813529)"
"341","Humboldt Park",23,"Senior",60624,88,1151632.751,1904458.203,41.89371191,-87.71855494,"(41.89371190813259, -87.71855493962825)"
"342","Near North Side",8,"Multifamily",60610,111,1172196.032,1907097.533,41.90052524,-87.64295528,"(41.9005252379124, -87.6429552752714)"
"343","Lake View",6,"ARO",60657,5,1165082.52,1922885.515,41.94400253,-87.6686339517247,"(41.94400253058712, -87.66863395172477)"
"344","Rogers Park",1,"Inter-generational",60626,54,1166011.629,1948540.312,42.01438027,-87.66448269,"(42.01438027189406, -87.6644826893636)"
"345","Near North Side",8,"ARO",60610,7,1171685.562,1910861.926,41.9108662,-87.64471925,"(41.9108661963254, -87.644719245073)"
"346","Bridgeport",60,"Senior",60608,85,1171468.409,1886029.528,41.84272915,-87.64624727,"(41.8427291511758, -87.6462472700624)"
"347","Lower West Side",31,"Multifamily",60608,72,1165119.373,1891824.739,41.85876878,-87.66938208,"(41.8587687803028, -87.6693820787239)"
"348","Woodlawn",42,"Multifamily",60637,15,1182961.608,1862758.255,41.77861094,-87.60479472,"(41.7786109443603, -87.6047947202511)"
"349","West Englewood",67,"Senior",60636,89,1167632.786,1859022.548,41.76870231,-87.66109812,"(41.768702314065365, -87.66109812190477)"
"350","Logan Square",22,"ARO",60647,22,1155727.042,1916381.376,41.92634863,-87.70319622,"(41.9263486263737, -87.7031962197989)"
"351","West Town",24,"Multifamily",60622,61,1159482.293,1907856.105,41.90287808,-87.68963252,"(41.9028780789855, -87.6896325218596)"
"352","Near West Side",28,"Senior",60612,62,1165323.057,1900716.695,41.88316474,-87.66838158,"(41.8831647382271, -87.6683815808488)"
"353","Loop",32,"ARO",60601,7,1177210.923,1902164.231,41.8868758,-87.62468519,"(41.88687579539163, -87.62468518670747)"
"354","Hunboldt Paek",23,"Multifamily",60639,62,1147575.749,1910329.902,41.90990327,-87.73330423,"(41.90990326796351, -87.7333042287006)"
"355","Logan Square",22,"Multifamily",60647,3,1152116.497,1914427.113,41.921058,-87.71651501,"(41.9210580042957, -87.7165150148412)"
"356","Rogers Park",1,"Senior",60626,57,1166287.128,1948743.442,42.01493175,-87.66346312,"(42.01493175019485, -87.66346311838282)"
"357","Oakland",36,"Multifamily",60653,112,1184161.776,1877771.789,41.81978129,-87.59992527,"(41.8197812877923, -87.5999252672656)"
"358","Chicago Lawn",66,"Senior",60629,102,1155938.092,1862375.031,41.77814486,-87.70387541,"(41.7781448625534, -87.7038754099471)"
"359","North Park",13,"Senior",60646,63,1148723.501,1938044.237,41.98593151,-87.72836921,"(41.9859315141827, -87.7283692100341)"
"360","Humboldt Park",23,"Multifamily",60624,6,1152991.429,1903446.155,41.89090793,-87.71359179,"(41.8909079268645, -87.7135917922844)"
"361","Humboldt Park",23,"ARO",60651,4,1151819.504,1905716.18576809,41.89716026,-87.7178359099359,""
"362","Englewood",68,"Supportive Housing",60621,99,1171893.839,1867410.662,41.79162782,-87.64523321,"(41.791627817593, -87.6452332086618)"
"363","Greater Grand Crossing",69,"Multifamily",60621,24,1176891.268,1858664.434,41.76751603,-87.62717205,"(41.7675160251626, -87.6271720534562)"
"364","North Lawndale",29,"Multifamily",60623,11,1150056.063,1890463.503,41.85533972,-87.72471008,"(41.8553397217037, -87.7247100762886)"
"365","Roseland",50,"Senior",60628,60,1178428.442,1830343.03,41.68976374,-87.62239508,"(41.6897637422461, -87.6223950848936)"
"366","Washington Park",40,"Multifamily",60653,230,1178170.371,1867225.804,41.79098039,-87.62222411,"(41.7909803898446, -87.6222241137332)"
"367","Humboldt Park",23,"Multifamily",60624,6,1154224.542,1903987.92,41.89237005,-87.70904868,"(41.8923700513216, -87.7090486845158)"
"368","Uptown",3,"ARO",60640,4,1163544.414,1931973.688,41.9689735,-87.67403032,"(41.968973497819, -87.6740303235896)"
"369","Lower West Side",31,"Multifamily",60608,4,1170049.336,1890417.784,41.85480194,-87.65132697,"(41.8548019389231, -87.6513269744307)"
"370","Lincoln Square",4,"ARO",60640,6,1162932.097,1931943.503,41.96890358,-87.67628265,"(41.968903575201, -87.6762826511204)"
"371","Rogers Park",1,"Senior",60626,436,1167087.151,1942658.705,41.99821792,-87.66069526,"(41.99821792053241, -87.6606952555721)"
"372","Lower West Side",31,"Multifamily",60608,5,1162389.313,1890761.089,41.85590751,-87.67943292,"(41.8559075140985, -87.6794329233162)"
"373","Woodlawn",42,"Multifamily",60637,33,1186141.366,1862376.561,41.77748903,-87.59314971,"(41.7774890263916, -87.5931497136386)"
"374","Grand Boulevard",38,"Senior",60653,97,1180219.199,1877957.214,41.82038154,-87.61438244,"(41.8203815434508, -87.6143824353862)"
"375","Belmont Cragin",19,"Senior",60639,86,1135526.174,1914216.383,41.92079101,-87.77747755,"(41.9207910104657, -87.7774775507649)"
"376","Logan Square",22,"Multifamily",60647,54,1154841.949,1914634.492,41.92157284,-87.70649546,"(41.92157283868392, -87.706495460099)"
"377","Englewood",68,"Senior",60621,34,1171120.288,1862217.205,41.77739333,-87.6482214,"(41.7773933301775, -87.6482214015885)"
"378","Chicago Lawn",66,"Senior",60629,93,1160293.922,1855122.446,41.75815411,-87.68810611,"(41.7581541131331, -87.6881061074696)"
"379","Douglas",35,"ARO",60616,2,1178081.304,1884060.021,41.83717695,-87.62203977,"(41.8371769457261, -87.6220397684404)"
"380","Logan Square",22,"ARO",60647,6,1157757.47,1913119.953,41.91735785,-87.69582442,"(41.9173578458663, -87.6958244220098)"
"381","Portage Park",15,"ARO",60641,6,1143972.7382615,1926210.27797847,41.9535489566804,-87.7461408109366,"(41.9535489566804, -87.7461408109366)"
"382","West Town",24,"ARO",60622,3,1164277.935,1903488.048,41.89079171,-87.67214091,"41 89079170832129"
"383","Lower West Side",31,"Multifamily",60608,63,1168646.297,1890365.991,41.85469028,-87.65647821,"(41.8546902787307, -87.6564782084317)"
"384","North Lawndale",29,"Multifamily",60608,17,1158736.897,1894328.04,41.86577114,-87.69274143,"(41.8657711435233, -87.6927414310716)"
"385","East Garfield Park",27,"Senior",60612,113,1157640.848,1901927.155,41.88664623,-87.69655814,"(41.8866462302992, -87.6965581360089)"
"386","Oakland",36,"Multifamily",60653,6,1184313.13,1877335.236,41.81857981,-87.59938372,"(41.818579809058, -87.5993837218511)"
"387","Grand Boulevard",38,"Multifamily",60653,118,1178573.52,1877831.629,41.82007455,-87.6204233,"(41.8200745540387, -87.6204232972122)"
"388","West Town",24,"ARO",60647,1,1160139.57,1911270.612,41.91223419,-87.68712373,"(41.9122341944022, -87.6871237293732)"
"389","Auburn Gresham",71,"Supportive/Veterans",60620,54,1169700.307,1850714.778,41.74586011,-87.65376017,"(41.7458601099296, -87.6537601722189)"
"390","Grand Boulevard",38,"Multifamily",60653,116,1181829.598,1877677.36,41.81957647,-87.60848349,"(41.8195764741456, -87.6084834879147)"
"391","Riverdale",54,"Multifamily",60627,258,1180750.042,1817671.924,41.65493945,-87.61428283,"(41.65493944937772, -87.61428282625099)"
"392","Near West Side",28,"ARO",60612,52,1163617.903,1897486.317,41.87433639,-87.67473402,"(41.8743363936548, -87.6747340163993)"
"393","Washington Park",40,"Multifamily",60637,65,1178184.05,1866708.816,41.78956141,-87.62218963,"(41.7895614136691, -87.6221896343024)"
"394","Edgewater",77,"ARO",60660,16,1164592.267,1937879.014,41.98515573,-87.67000926,"(41.9851557257468, -87.6700092589944)"
"395","North Lawndale",29,"Multifamily",60608,1,1158196.48,1893944.253,41.86472904,-87.69473582,"(41.8647290397995, -87.6947358194861)"
"396","Lake View",6,"ARO",60613,8,1169013.814,1926369.564,41.95347834,-87.65408289,"(41.95347833510141, -87.65408288861626)"
"397","West Ridge",2,"Senior",60659,99,1153825.547,1940243.379,41.99186565,-87.70954508,"(41.9918656495183, -87.7095450826125)"
"398","Logan Square",22,"Multifamily",60647,100,1154370.985,1913144.88,41.91749465,-87.70826581,"(41.9174946519018, -87.7082658078456)"
"399","Lincoln Square",4,"ARO",60625,6,1160933.556,1931890.653,41.96880038,-87.68363271,"(41.9688003768019, -87.6836327092268)"
"400","Oakland",36,"Multifamily",60653,3,1184320.237,1877174.699,41.81813912,-87.59936268,"(41.8181391196842, -87.5993626833323)"
"401","Near West Side",28,"ARO",66007,5,1168864.113,1898292.938,41.87643774,-87.65544899,"(41.8764377440362, -87.6554489851593)"
"402","Near West Side",28,"Multifamily",60607,29,1167384.336,1895738.411,41.86945986,-87.66095569,"(41.869459860474, -87.6609556887118)"
